"Reported.Date","Confirmed.Negative","Presumptive.Negative","Presumptive.Positive","Confirmed.Positive","Resolved","Deaths","Total.Cases","Total.patients.approved.for.testing.as.of.Reporting.Date","Total.tests.completed.in.the.last.day","Under.Investigation","Number.of.patients.hospitalized.with.COVID.19","Number.of.patients.in.ICU.with.COVID.19","Number.of.patients.in.ICU.on.a.ventilator.with.COVID.19","Total.Positive.LTC.Resident.Cases","Total.Positive.LTC.HCW.Cases","Total.LTC.Resident.Deaths","Total.LTC.HCW.Deaths"
"2020-01-26",NA,NA,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"2020-01-27",NA,NA,2,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA
"2020-01-28",NA,NA,1,1,NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
"2020-01-30",NA,NA,0,2,NA,NA,2,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
"2020-01-31",NA,NA,0,2,NA,NA,2,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
"2020-02-03",NA,NA,0,3,NA,NA,3,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
"2020-02-04",90,12,0,3,NA,NA,3,139,NA,34,NA,NA,NA,NA,NA,NA,NA
"2020-02-05",96,8,0,3,NA,NA,3,150,NA,43,NA,NA,NA,NA,NA,NA,NA
"2020-02-06",104,0,0,3,NA,NA,3,169,NA,62,NA,NA,NA,NA,NA,NA,NA
"2020-02-08",130,25,0,3,NA,NA,3,197,NA,39,NA,NA,NA,NA,NA,NA,NA
"2020-02-10",167,81,0,3,NA,NA,3,259,NA,8,NA,NA,NA,NA,NA,NA,NA
"2020-02-11",184,79,0,3,NA,NA,3,285,NA,19,NA,NA,NA,NA,NA,NA,NA
"2020-02-12",257,44,0,2,1,NA,3,313,NA,9,NA,NA,NA,NA,NA,NA,NA
"2020-02-13",306,16,0,2,1,NA,3,340,NA,15,NA,NA,NA,NA,NA,NA,NA
"2020-02-14",353,0,0,2,1,NA,3,364,NA,8,NA,NA,NA,NA,NA,NA,NA
"2020-02-17",399,0,0,2,1,NA,3,402,NA,0,NA,NA,NA,NA,NA,NA,NA
"2020-02-18",418,0,0,2,1,NA,3,421,NA,0,NA,NA,NA,NA,NA,NA,NA
"2020-02-19",436,0,0,2,1,NA,3,456,NA,17,NA,NA,NA,NA,NA,NA,NA
"2020-02-20",462,NA,0,1,2,NA,3,479,NA,14,NA,NA,NA,NA,NA,NA,NA
"2020-02-21",483,NA,0,0,3,NA,3,498,NA,12,NA,NA,NA,NA,NA,NA,NA
"2020-02-24",540,NA,0,1,3,NA,4,553,NA,9,NA,NA,NA,NA,NA,NA,NA
"2020-02-25",568,NA,0,1,3,NA,4,593,NA,21,NA,NA,NA,NA,NA,NA,NA
"2020-02-26",610,NA,1,1,3,NA,4,629,NA,14,NA,NA,NA,NA,NA,NA,NA
"2020-02-27",672,NA,1,2,3,NA,5,699,NA,21,NA,NA,NA,NA,NA,NA,NA
"2020-02-28",739,NA,1,3,3,NA,6,768,NA,22,NA,NA,NA,NA,NA,NA,NA
"2020-03-02",975,NA,NA,15,3,NA,18,1005,NA,12,NA,NA,NA,NA,NA,NA,NA
"2020-03-03",1061,NA,NA,17,3,NA,20,1126,NA,45,NA,NA,NA,NA,NA,NA,NA
"2020-03-04",1216,NA,NA,17,3,NA,20,1338,NA,102,NA,NA,NA,NA,NA,NA,NA
"2020-03-05",1466,NA,NA,18,4,NA,22,1566,NA,78,NA,NA,NA,NA,NA,NA,NA
"2020-03-06",1665,NA,NA,22,4,NA,26,1763,NA,72,NA,NA,NA,NA,NA,NA,NA
"2020-03-07",1918,NA,NA,24,4,NA,28,1982,NA,36,NA,NA,NA,NA,NA,NA,NA
"2020-03-08",2094,NA,NA,25,4,NA,29,2178,NA,55,NA,NA,NA,NA,NA,NA,NA
"2020-03-09",2347,NA,NA,31,4,NA,35,2404,NA,22,NA,NA,NA,NA,NA,NA,NA
"2020-03-10",2599,NA,NA,31,5,NA,36,2747,NA,112,NA,NA,NA,NA,NA,NA,NA
"2020-03-11",2888,NA,NA,37,5,NA,42,3395,NA,465,NA,NA,NA,NA,NA,NA,NA
"2020-03-12",3590,NA,NA,54,5,NA,59,4185,NA,536,NA,NA,NA,NA,NA,NA,NA
"2020-03-13",4470,NA,NA,74,5,NA,79,5129,NA,580,NA,NA,NA,NA,NA,NA,NA
"2020-03-14",5606,NA,NA,98,5,NA,103,6648,NA,939,NA,NA,NA,NA,NA,NA,NA
"2020-03-15",7004,NA,NA,140,5,NA,145,8465,NA,1316,NA,NA,NA,NA,NA,NA,NA
"2020-03-16",8464,NA,NA,172,5,NA,177,10178,NA,1537,NA,NA,NA,NA,NA,NA,NA
"2020-03-17",9415,NA,NA,183,5,1,189,11171,NA,1567,NA,NA,NA,NA,NA,NA,NA
"2020-03-18",10305,NA,NA,208,5,1,214,13897,NA,3378,NA,NA,NA,NA,NA,NA,NA
"2020-03-19",12421,NA,NA,251,5,2,258,16650,NA,3971,NA,NA,NA,NA,NA,NA,NA
"2020-03-20",13718,NA,NA,311,5,2,318,19511,NA,5475,NA,NA,NA,NA,NA,NA,NA
"2020-03-21",15768,NA,NA,369,6,2,377,23384,NA,7239,NA,NA,NA,NA,NA,NA,NA
"2020-03-22",17634,NA,NA,412,8,5,425,26420,NA,8361,NA,NA,NA,NA,NA,NA,NA
"2020-03-23",19586,NA,NA,489,8,6,503,28506,NA,8417,NA,NA,NA,NA,NA,NA,NA
"2020-03-24",21795,NA,NA,572,8,8,588,32457,NA,10074,NA,NA,NA,NA,NA,NA,NA
"2020-03-25",24458,NA,NA,667,8,13,688,35635,NA,10489,NA,NA,NA,NA,NA,NA,NA
"2020-03-26",26727,NA,NA,835,8,15,858,38550,NA,10965,NA,NA,NA,NA,NA,NA,NA
"2020-03-27",29967,NA,NA,967,8,18,993,41032,NA,10074,NA,NA,NA,NA,NA,NA,NA
"2020-03-28",33240,NA,NA,1117,8,19,1144,43072,NA,8690,NA,NA,NA,NA,NA,NA,NA
"2020-03-29",40630,NA,NA,1324,8,23,1355,49186,NA,7203,NA,NA,NA,NA,NA,NA,NA
"2020-03-30",NA,NA,NA,1252,431,23,1706,48461,NA,5651,NA,NA,NA,NA,NA,NA,NA
"2020-03-31",NA,NA,NA,1399,534,33,1966,51629,NA,4280,NA,NA,NA,NA,NA,NA,NA
